
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
Weights 0.000_1.000, last 10 training episodes: mean/median length 22.8/18.0, mean/median reward -65.3/-54.0, min/max reward -103.3/-42.6
[RL] Updates 5, num timesteps 98304, FPS 723, time 135.87351727485657 
Weights 0.000_1.000, last 10 training episodes: mean/median length 21.1/17.0, mean/median reward -62.8/-48.9, min/max reward -133.4/-44.3
[RL] Updates 10, num timesteps 180224, FPS 730, time 246.86780762672424 
Weights 0.000_1.000, last 10 training episodes: mean/median length 17.6/16.5, mean/median reward -47.4/-44.1, min/max reward -70.4/-38.1
[RL] Updates 15, num timesteps 262144, FPS 738, time 354.8398439884186 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.7/16.0, mean/median reward -42.0/-42.3, min/max reward -47.7/-36.8
[RL] Updates 20, num timesteps 344064, FPS 745, time 461.2840356826782 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.5/15.0, mean/median reward -39.7/-39.6, min/max reward -43.9/-34.8
[RL] Updates 25, num timesteps 425984, FPS 750, time 567.6765151023865 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward -36.8/-37.3, min/max reward -46.4/-29.4
[RL] Updates 30, num timesteps 507904, FPS 750, time 676.4716818332672 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.2/15.5, mean/median reward -31.8/-32.3, min/max reward -40.8/-23.6
[RL] Updates 35, num timesteps 589824, FPS 749, time 786.9511079788208 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.3/15.0, mean/median reward -30.4/-30.3, min/max reward -39.0/-24.8
[RL] Updates 40, num timesteps 671744, FPS 748, time 897.7845485210419 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward -25.9/-25.2, min/max reward -35.4/-19.4
[RL] Updates 45, num timesteps 753664, FPS 750, time 1004.4567086696625 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.1/15.0, mean/median reward -20.3/-20.7, min/max reward -24.7/-15.5
[RL] Updates 50, num timesteps 835584, FPS 751, time 1112.2958040237427 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.2/15.0, mean/median reward -12.7/-12.6, min/max reward -16.3/-8.7
[RL] Updates 55, num timesteps 917504, FPS 750, time 1222.3070616722107 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.3/15.0, mean/median reward -8.4/-9.0, min/max reward -13.2/2.5
[RL] Updates 60, num timesteps 999424, FPS 750, time 1330.8403089046478 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.5/15.5, mean/median reward 2.5/3.7, min/max reward -6.7/10.0
[RL] Updates 65, num timesteps 1081344, FPS 751, time 1439.6369168758392 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.3/15.0, mean/median reward 7.5/7.3, min/max reward 2.8/12.4
[RL] Updates 70, num timesteps 1163264, FPS 751, time 1547.4457352161407 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.9/16.0, mean/median reward 17.4/17.9, min/max reward 10.2/23.0
[RL] Updates 75, num timesteps 1245184, FPS 752, time 1653.7655301094055 
Weights 0.000_1.000, last 10 training episodes: mean/median length 15.9/16.0, mean/median reward 29.2/28.8, min/max reward 26.5/34.1
[RL] Updates 80, num timesteps 1327104, FPS 753, time 1761.4549922943115 
Weights 0.000_1.000, last 10 training episodes: mean/median length 16.5/16.5, mean/median reward 39.3/39.6, min/max reward 33.4/43.5
[RL] Updates 85, num timesteps 1409024, FPS 753, time 1869.2386734485626 
Weights 0.000_1.000, last 10 training episodes: mean/median length 16.3/16.0, mean/median reward 51.7/50.8, min/max reward 47.6/57.3
[RL] Updates 90, num timesteps 1490944, FPS 754, time 1977.2828352451324 
Weights 0.000_1.000, last 10 training episodes: mean/median length 16.9/17.0, mean/median reward 63.3/63.1, min/max reward 59.9/66.3
[RL] Updates 95, num timesteps 1572864, FPS 754, time 2085.7025525569916 
Weights 0.000_1.000, last 10 training episodes: mean/median length 30.5/21.0, mean/median reward 98.7/81.9, min/max reward 64.8/170.6
[RL] Updates 100, num timesteps 1654784, FPS 751, time 2200.8107557296753 
Weights 0.000_1.000, last 10 training episodes: mean/median length 59.5/61.0, mean/median reward 196.6/200.7, min/max reward 147.3/234.4
[RL] Updates 105, num timesteps 1736704, FPS 749, time 2317.0707516670227 
Weights 0.000_1.000, last 10 training episodes: mean/median length 77.6/75.0, mean/median reward 263.0/253.3, min/max reward 230.7/360.5
[RL] Updates 110, num timesteps 1818624, FPS 746, time 2435.5307986736298 
Weights 0.000_1.000, last 10 training episodes: mean/median length 97.2/88.5, mean/median reward 350.7/331.5, min/max reward 241.8/576.6
[RL] Updates 115, num timesteps 1900544, FPS 743, time 2555.1789140701294 
Weights 0.000_1.000, last 10 training episodes: mean/median length 112.8/108.0, mean/median reward 403.1/387.9, min/max reward 307.8/526.9
[RL] Updates 120, num timesteps 1982464, FPS 741, time 2675.3178746700287 
